Abstract,Domain,Cleaned_Abstract,Domain_Final
"Celastrol has been shown to inhibit hepatocellular carcinoma (HCC) progression, but the underlying mechanism is unknown. Fanconi anemia complementation group D2 (<i>FANCD2</i>), a ferroptosis inhibitor, promotes HCC proliferation and invasion. This study aims to investigate whether Celastrol exerts its effects by targeting <i>FANCD2</i>. Using data from The Cancer Genome Atlas (TCGA), we identified differentially expressed genes in HCC utilizing Gene Expression Profiling Interactive Analysis 2 (GEPIA 2). <i>FANCD2</i> and Celastrol were analyzed for molecular docking using Autodock, which was based on geometric matching and energy matching. The correlation between <i>FANCD2</i> and survival rate was analyzed using Kaplan-Meier's estimates by log-rank (Mantel-Cox) test. HCC cell lines (SNU-423 and SNU-387) were overexpressed or silenced with <i>FANCD2</i> and treated with Celastrol. Autophagy and ferroptosis were evaluated by measuring oxidative stress and related markers, and cell function experiments were performed. High expression of <i>FANCD2</i> was correlated with poor survival in HCC patients. Celastrol targeted <i>FANCD2</i>, reducing its level in SNU-423 and SNU-387 cells. <i>FANCD2</i> overexpression resulted in increased SNU-423 cell viability, migration, invasion, and tube formation ability, as well as attenuated autophagy and ferroptosis, while <i>FANCD2</i> knockdown in SNU-387 cells showed opposite effects. Additionally, <i>FANCD2</i> overexpression reversed the ability of Celastrol to induce autophagy and ferroptosis and to inhibit SNU-423 cell survival <i>in vitro</i>, while <i>FANCD2</i> knockdown enhanced the effects of Celastrol in SNU-387 cells. Celastrol inhibits malignant behavior in HCC cells by targeting <i>FANCD2</i> to induce autophagy-dependent ferroptosis.",AI in Oncology,celastrol shown inhibit hepatocellular carcinoma hcc progression underlying mechanism unknown fanconi anemia complementation group ifancdi ferroptosis inhibitor promotes hcc proliferation invasion study aims investigate whether celastrol exerts effects targeting ifancdi using data cancer genome atlas tcga identified differentially expressed genes hcc utilizing gene expression profiling interactive analysis gepia ifancdi celastrol analyzed molecular docking using autodock based geometric matching energy matching correlation ifancdi survival rate analyzed using kaplanmeiers estimates logrank mantelcox test hcc cell lines snu snu overexpressed silenced ifancdi treated celastrol autophagy ferroptosis evaluated measuring oxidative stress related markers cell function experiments performed high expression ifancdi correlated poor survival hcc patients celastrol targeted ifancdi reducing level snu snu cells ifancdi overexpression resulted increased snu cell viability migration invasion tube formation ability well attenuated autophagy ferroptosis ifancdi knockdown snu cells showed opposite effects additionally ifancdi overexpression reversed ability celastrol induce autophagy ferroptosis inhibit snu cell survival iin vitroi ifancdi knockdown enhanced effects celastrol snu cells celastrol inhibits malignant behavior hcc cells targeting ifancdi induce autophagydependent ferroptosis,AI in Oncology
"There is limited data on health-related quality of life (HRQoL) in older breast cancer (BC) patients. This study examines patient-reported outcomes (PROs) by type of endocrine therapy (ET) prescribed, aromatase inhibitors (AI), or tamoxifen (Tam) to estrogen receptor-positive BC patients aged ≥70 years. This retrospective review includes 1052 women diagnosed with early-stage BC from the REQUITE study database, who underwent breast conservation surgery (BCS), and received adjuvant breast radiation therapy (RT), and ET as the only systemic therapy. Among them, 201 women were aged ≥70 years. The PROs were assessed by using EORTC-QLQ-C30, BR23, and Multidimensional Fatigue Inventory measures obtained at baseline after BCS, post-RT, and at 1, 2, and 3 years follow-up. Statistical analysis involves mixed model analysis of variance and propensity score weights. Among the 201 women, 131 received AI, and 70 received Tam. The overall mean age of this cohort is 75.3 years. Compared with Tam, AI-treated patients experience worse insomnia and general and physical fatigue. Tam-treated patients experienced more physical and cognitive functioning decline than the AI-treated patients. The Tam-treated patients also reported more mental fatigue and reduced sexual enjoyment compared to the AI-treated patients. This study suggests a differential impact by type of ET on distinct HRQoL domains experienced by older postmenopausal women. Furthermore, larger prospective clinical trials are necessary to inform treatment decisions for older ER-positive BC patients, considering patient preferences and understanding trade-offs between disease outcomes and HRQoL.",AI in Oncology,limited data healthrelated quality life hrqol older breast cancer bc patients study examines patientreported outcomes pros type endocrine therapy et prescribed aromatase inhibitors ai tamoxifen tam estrogen receptorpositive bc patients aged years retrospective review includes women diagnosed earlystage bc requite study database underwent breast conservation surgery bcs received adjuvant breast radiation therapy rt et systemic therapy among women aged years pros assessed using eortcqlqc br multidimensional fatigue inventory measures obtained baseline bcs postrt years followup statistical analysis involves mixed model analysis variance propensity score weights among women received ai received tam overall mean age cohort years compared tam aitreated patients experience worse insomnia general physical fatigue tamtreated patients experienced physical cognitive functioning decline aitreated patients tamtreated patients also reported mental fatigue reduced sexual enjoyment compared aitreated patients study suggests differential impact type et distinct hrqol domains experienced older postmenopausal women furthermore larger prospective clinical trials necessary inform treatment decisions older erpositive bc patients considering patient preferences understanding tradeoffs disease outcomes hrqol,AI in Oncology
"The acquired resistance to existing therapies poses a grave concern in achieving successful therapeutic outcomes. Temozolomide (TMZ), a widely used alkylating chemotherapeutic in Glioblastoma therapy, often encounters resistance, necessitating the investigation of the underlying mechanisms of TMZ-acquired resistance. To study TMZ resistance, a cell-based model system was generated by intermittently exposing glioblastoma cells to increasing concentrations and time of TMZ over six months. The survival response of cells at higher concentrations confirmed TMZ-resistant cells, which exhibited a phenotypic shift toward a mesenchymal-like state, with decreased epithelial traits, indicating mesenchymal-epithelial transition (MET). This transition likely facilitates the stabilization and clonal growth of TMZ-resistant cells. Subsequent analysis revealed elevated expression of TLK1, a DNA repair protein, thus reinforcing its potential involvement in mechanisms associated with acquired resistance. To explore the therapeutic aspect of TLK1 inhibition, we utilized an in-house developed TLK1 inhibitor, J54. The inhibition of TLK1 in TMZ-resistant cells enhanced cytotoxicity, indicating TLK1 as a potential target to combat TMZ resistance. Moreover, TLK1 inhibition reduced cell migration and invasion, implying its role in promoting metastasis. In conclusion, our study sheds light on the role of TLK1 in the context of TMZ resistance, highlighting its potential as a valuable target for therapeutic intervention.",AI in Oncology,acquired resistance existing therapies poses grave concern achieving successful therapeutic outcomes temozolomide tmz widely used alkylating chemotherapeutic glioblastoma therapy often encounters resistance necessitating investigation underlying mechanisms tmzacquired resistance study tmz resistance cellbased model system generated intermittently exposing glioblastoma cells increasing concentrations time tmz six months survival response cells higher concentrations confirmed tmzresistant cells exhibited phenotypic shift toward mesenchymallike state decreased epithelial traits indicating mesenchymalepithelial transition met transition likely facilitates stabilization clonal growth tmzresistant cells subsequent analysis revealed elevated expression tlk dna repair protein thus reinforcing potential involvement mechanisms associated acquired resistance explore therapeutic aspect tlk inhibition utilized inhouse developed tlk inhibitor j inhibition tlk tmzresistant cells enhanced cytotoxicity indicating tlk potential target combat tmz resistance moreover tlk inhibition reduced cell migration invasion implying role promoting metastasis conclusion study sheds light role tlk context tmz resistance highlighting potential valuable target therapeutic intervention,AI in Oncology
"Liquid biopsies are an increasingly important tool for the real-time monitoring of biomarkers, cancer recurrence, and disease burden in oncology practice. Tempus xF+ is a liquid biopsy assay that detects cell-free DNA in blood samples of patients with advanced solid tumors. The xF+ panel covers 523 genes spanning approximately 1.8 Mb of the human genome and can detect single-nucleotide variants and insertions-deletions in 522 genes. It also detects copy number gains in 7 genes and translocations (gene rearrangements) in 10 genes. Furthermore, the larger panel size allows for the calculation of blood tumor mutational burden. This work highlights the analytical validation performed for the xF+ assay, comparing it with a smaller panel liquid biopsy assay, calculating blood tumor mutational burden, and exploring its potential clinical utility.",AI in Oncology,liquid biopsies increasingly important tool realtime monitoring biomarkers cancer recurrence disease burden oncology practice tempus xf liquid biopsy assay detects cellfree dna blood samples patients advanced solid tumors xf panel covers genes spanning approximately mb human genome detect singlenucleotide variants insertionsdeletions genes also detects copy number gains genes translocations gene rearrangements genes furthermore larger panel size allows calculation blood tumor mutational burden work highlights analytical validation performed xf assay comparing smaller panel liquid biopsy assay calculating blood tumor mutational burden exploring potential clinical utility,AI in Oncology
"Eradication of inhibitors is still a desirable goal for hemophilia A inhibitor patients. Combining rituximab with immune tolerance induction (ITI) is the second-line regimen, but data and predictors are limited. 76 children with high-titer inhibitor prospectively using low-dose ITI together with 1-3 round(s) of rituximab were evaluated for outcomes: i.e. success or failure and rapidity (rapid or slow) of inhibitor negativity (i.e. inhibitor titers turned negative, IN). The whole-transcriptome RNA-sequencing (RNA-seq) was used to analyze the gene expression profile of 4 failure patients (excluding F8 large deletion) and 4 rapid success-IN patients. Success-IN was achieved in 41/76 (53.9%) patients after 1<sup>st</sup> round rituximab, 50/76 (65.8%) after 2<sup>nd</sup> round rituximab, and 51/76 (67.1%) after 3<sup>rd</sup> round rituximab. Profile of inhibitor decay follows an exponential decay curve. Time to a given inhibitor titer during ITI-Rituximab could be estimated by the model t=ln(Y0-PlateauY-Plateau)k. time to insufficient inhibitor-titer decay or relapse. This model is proposed for prognostic prediction of ITI-rituximab. RNA-seq analysis showed 186 up-regulated differential expressed genes (DEGs) and 176 down-regulated DEGs in failure subjects compared to rapid success-IN. The up-regulated DEGs included CXCL8, NLRP6, CHI3L1, CLEC9A, THBD, PROS1. The down-regulated DEGs included STAT1, TLR7, C1Q, C2, IDO1, CD38. Success-IN was achieved in 67% of hemophilia A children with high-titer inhibitor treated by ITI- rituximab. A model based on the profile of inhibitor-titer decay can be used for predicting outcomes. Humoral immune response, complement and coagulation cascades may act at signals that influence ITI outcomes. (ClinicalTrials.gov: NCT03598725).",AI in Oncology,eradication inhibitors still desirable goal hemophilia inhibitor patients combining rituximab immune tolerance induction iti secondline regimen data predictors limited children hightiter inhibitor prospectively using lowdose iti together rounds rituximab evaluated outcomes ie success failure rapidity rapid slow inhibitor negativity ie inhibitor titers turned negative wholetranscriptome rnasequencing rnaseq used analyze gene expression profile failure patients excluding f large deletion rapid successin patients successin achieved patients supstsup round rituximab supndsup round rituximab suprdsup round rituximab profile inhibitor decay follows exponential decay curve time given inhibitor titer itirituximab could estimated model tlnyplateauyplateauk time insufficient inhibitortiter decay relapse model proposed prognostic prediction itirituximab rnaseq analysis showed upregulated differential expressed genes degs downregulated degs failure subjects compared rapid successin upregulated degs included cxcl nlrp chil cleca thbd pros downregulated degs included stat tlr cq c ido cd successin achieved hemophilia children hightiter inhibitor treated iti rituximab model based profile inhibitortiter decay used predicting outcomes humoral immune response complement coagulation cascades may act signals influence iti outcomes clinicaltrialsgov nct,AI in Oncology
"Obesity is associated with a greater risk of developing distant recurrences in patients with estrogen receptor-positive (ER+) breast cancer. This association is however poorly investigated in patients treated with extended endocrine treatment (ET). We therefore evaluated the prognostic role of BMI in the SOLE trial, where postmenopausal patients, after having completed 4-6 years of adjuvant ET, were treated with 5 additional years of continuous or intermittent letrozole. We considered the 3606 patients with ER+ /HER2- lymph node-positive BC with available BMI from the SOLE trial (NCT00553410). Distant-recurrence free interval (DRFI) was the main endpoint, and breast cancer-free interval (BCFI), disease-free survival (DFS) and overall survival (OS) secondary endpoints. Adjusted risk ratios (RR) for distant metastases were estimated with crude cumulative incidence models. 38.6 % of the patients were underweight or normal weight, 36.5 % overweight and 24.9 % obese. BMI was associated with age, tumor size, number of positive lymph nodes, menopausal status and type of prior ET. In the adjusted analyses, the prognostic value of BMI was dependent on prior ET and extended ET arm (second-order interaction p-value<0.001 for DRFI, BCFI and DFS, but not for OS). For instance, in patients treated with both a selective estrogen receptor modulator and an aromatase inhibitor in the first five years, obesity, as compared to normal-weight, was associated with better (RR<sub>DRFI</sub>=0.61, 95 %CI: 0.42-0.90) and worse (RR<sub>DRFI</sub>=2.31, 95 %CI: 1.41-3.78) outcomes in the adjusted models, in patients treated with continuous and intermittent letrozole in the extended ET, respectively. We observed that the prognostic relation of BMI changes according to the type of adjuvant ET and mode of administration of extended AI. This warrants further investigation.",AI in Oncology,obesity associated greater risk developing distant recurrences patients estrogen receptorpositive er breast cancer association however poorly investigated patients treated extended endocrine treatment et therefore evaluated prognostic role bmi sole trial postmenopausal patients completed years adjuvant et treated additional years continuous intermittent letrozole considered patients er lymph nodepositive bc available bmi sole trial nct distantrecurrence free interval drfi main endpoint breast cancerfree interval bcfi diseasefree survival dfs overall survival os secondary endpoints adjusted risk ratios rr distant metastases estimated crude cumulative incidence models patients underweight normal weight overweight obese bmi associated age tumor size number positive lymph nodes menopausal status type prior et adjusted analyses prognostic value bmi dependent prior et extended et arm secondorder interaction pvalue drfi bcfi dfs os instance patients treated selective estrogen receptor modulator aromatase inhibitor first five years obesity compared normalweight associated better rrsubdrfisub ci worse rrsubdrfisub ci outcomes adjusted models patients treated continuous intermittent letrozole extended et respectively observed prognostic relation bmi changes according type adjuvant et mode administration extended ai warrants investigation,AI in Oncology
"Gliomas account for 24.5% of all primary brain tumors and 80% of all malignant tumors in adults. Vascular endothelial growth factor receptors (VEGFR) tyrosine kinase inhibitors (TKIs) play an important role in disrupting angiogenesis, tumor growth, and invasion. This study evaluates the outcomes of VEGFR TKIs in patients with glioma, with a specific analysis on glioblastoma (GBM). Electronic databases of PubMed/Medline, Embase, Scopus, and Web of Science were conducted until 23 July 2024. Studies that evaluated the survival of patients with glioma treated with VEGFR TKI were included. All statistical analyses were conducted using the R program. A total of 24 studies, including 1,146 glioma patients with a median age range of 5.8 to 62 years were recruited. Regarding progression-free survival (PFS), the six-month PFS rate was reported with a pooled value of 21% [95% CI: 15% to 28%]. The 12-month PFS rate was evaluated in three studies, ranging from 5 to 38% with a pooled rate of 15% [95% CI: 8% to 27%]. Considering the radiological response, the pooled overall response rate (ORR) was 21% [95% CI: 15%-28%]. Evaluation of the subgroups based on drug type at the six-month follow-up showed no significant difference in overall survival (OS) rates among patients (p = 0.06). Our results revealed that VEGFR TKIs in patients with glioma, were associated with limited efficacy. The long-term effectiveness of these treatments remains controversial and requires longer follow-up, which is challenging in cancer cases.",AI in Oncology,gliomas account primary brain tumors malignant tumors adults vascular endothelial growth factor receptors vegfr tyrosine kinase inhibitors tkis play important role disrupting angiogenesis tumor growth invasion study evaluates outcomes vegfr tkis patients glioma specific analysis glioblastoma gbm electronic databases pubmedmedline embase scopus web science conducted july studies evaluated survival patients glioma treated vegfr tki included statistical analyses conducted using r program total studies including glioma patients median age range years recruited regarding progressionfree survival pfs sixmonth pfs rate reported pooled value ci month pfs rate evaluated three studies ranging pooled rate ci considering radiological response pooled overall response rate orr ci evaluation subgroups based drug type sixmonth followup showed significant difference overall survival os rates among patients p results revealed vegfr tkis patients glioma associated limited efficacy longterm effectiveness treatments remains controversial requires longer followup challenging cancer cases,AI in Oncology
"The effect of metformin on postoperative delirium (POD) in patients with type 2 diabetes mellitus (T2DM) undergoing cardiovascular surgery remains unclear. This study aimed to evaluate whether metformin use reduces POD risk in this high-risk population by analyzing data from Taiwan's National Health Insurance Research Database using propensity score matching (PSM). We included T2DM patients who underwent coronary artery bypass grafting (CABG) or valve replacement between 2015 and 2018. PSM was used to balance covariates between metformin users and non-users. Logistic regression and Kaplan-Meier analyses were performed to assess POD risk and its cumulative incidence. Metformin use was associated with a significantly reduced risk of POD (adjusted odds ratio [aOR], 0.52; 95% confidence interval [CI], 0.40-0.67). A dose-response trend was observed, with decreasing aORs for higher cumulative metformin exposure. Protective factors included higher income, urban residency, and statin use; risk factors included older age, prolonged anesthesia, higher aDCSI, CCI scores, and depression. Metformin significantly lowers the risk of POD in T2DM patients undergoing cardiovascular surgery, showing a clear dose-dependent protective effect. These findings highlight metformin's potential as a chemopreventive agent against post-surgical complications in this population.",AI in Oncology,effect metformin postoperative delirium pod patients type diabetes mellitus tdm undergoing cardiovascular surgery remains unclear study aimed evaluate whether metformin use reduces pod risk highrisk population analyzing data taiwans national health insurance research database using propensity score matching psm included tdm patients underwent coronary artery bypass grafting cabg valve replacement psm used balance covariates metformin users nonusers logistic regression kaplanmeier analyses performed assess pod risk cumulative incidence metformin use associated significantly reduced risk pod adjusted odds ratio aor confidence interval ci doseresponse trend observed decreasing aors higher cumulative metformin exposure protective factors included higher income urban residency statin use risk factors included older age prolonged anesthesia higher adcsi cci scores depression metformin significantly lowers risk pod tdm patients undergoing cardiovascular surgery showing clear dosedependent protective effect findings highlight metformins potential chemopreventive agent postsurgical complications population,AI in Oncology
"Immune checkpoint inhibitors (ICIs) have significantly advanced cancer therapy, yet their efficacy in tumors with low tumor mutational burden (TMB) remains suboptimal. In this study, we aimed to elucidate the impact of somatic mutations on overall survival (OS) in TMB-low patients treated with ICIs and to explore the potential for personalized treatment selection through machine learning. We conducted a comprehensive analysis of 1172 TMB-low (TMB < 10 mutations per megabase) patients with cancer receiving ICIs, examining the association between specific gene mutations and OS. Additionally, we developed a decision tree model (DTM) to predict OS based on clinical features and tumor mutational profiles. Our findings reveal that mutations in DAXX, HLA-A, H3C2, IGF1R, CTNNB1, SMARCA4, KMT2D, and TP53 are significantly associated with poorer survival outcomes in the multivariate analysis. Remarkably, for renal cell carcinoma (RCC) patients, VHL mutations predicted improved OS following ICI even when adjusted for age, sex, and microsatellite instability (MSI) status in both multivariate analysis and the DTM model. These results reinforce the prevailing notion that TMB alone does not predict ICI response, highlighting the critical role of individual gene mutations in TMB-low tumors under ICI therapy. Furthermore, our study demonstrates the promise of machine learning models in optimizing ICI treatment decisions, paving the way for more precise and effective therapeutic strategies in this patient population.",AI in Oncology,immune checkpoint inhibitors icis significantly advanced cancer therapy yet efficacy tumors low tumor mutational burden tmb remains suboptimal study aimed elucidate impact somatic mutations overall survival os tmblow patients treated icis explore potential personalized treatment selection machine learning conducted comprehensive analysis tmblow tmb mutations per megabase patients cancer receiving icis examining association specific gene mutations os additionally developed decision tree model dtm predict os based clinical features tumor mutational profiles findings reveal mutations daxx hlaa hc igfr ctnnb smarca kmtd tp significantly associated poorer survival outcomes multivariate analysis remarkably renal cell carcinoma rcc patients vhl mutations predicted improved os following ici even adjusted age sex microsatellite instability msi status multivariate analysis dtm model results reinforce prevailing notion tmb alone predict ici response highlighting critical role individual gene mutations tmblow tumors ici therapy furthermore study demonstrates promise machine learning models optimizing ici treatment decisions paving way precise effective therapeutic strategies patient population,AI in Oncology
"Dihydroartemisinin (DHA) is a derivative of artemisinin, which affects inflammation, oxidative stress, and immune regulation. However, the mechanism underlying its effects remains largely unknown. This study aims to explore the mechanism by which DHA affects radiation-induced lung injury (RILI), providing new insights for lung radiotherapy. To elucidate its mechanism of action, C57BL/6 J mice were irradiated with 15 Gy whole chest. RILI was evaluated by qRT-PCR, ELISA, histology, Western blot analysis, immunohistochemistry, and RILI signaling cascade studies. In addition, small interfering RNAs were employed to knockdown cGAS proteins in the cGAS-STING signaling pathway in the human bronchial epithelium cell line (BEAS-2B). Both In Vivo and Vitro experiments were conducted to investigate the specific mechanism by which DHA alleviated RILI. We observed the activation of the cGAS-STING pathway, along with the phosphorylation of the downstream target NF-κB and an increase in inflammatory factor levels in the mouse model following radiation exposure. In the cell model, irradiation also triggered the activation of the cGAS-STING signaling pathway and its downstream targets, leading to elevated levels of inflammatory factors. Notably, knocking down the cGAS using small interfering RNA in the BEAS-2B cells significantly alleviated RILI in the cell model. Our study elucidated the mechanism of DHA reducing RILI through the cGAS/STING/NF-κB signaling pathway, and revealed that the GAS/STING/NF-κB axis may be a potential therapeutic target for RILI.",AI in Oncology,dihydroartemisinin dha derivative artemisinin affects inflammation oxidative stress immune regulation however mechanism underlying effects remains largely unknown study aims explore mechanism dha affects radiationinduced lung injury rili providing new insights lung radiotherapy elucidate mechanism action cbl j mice irradiated gy whole chest rili evaluated qrtpcr elisa histology western blot analysis immunohistochemistry rili signaling cascade studies addition small interfering rnas employed knockdown cgas proteins cgassting signaling pathway human bronchial epithelium cell line beasb vivo vitro experiments conducted investigate specific mechanism dha alleviated rili observed activation cgassting pathway along phosphorylation downstream target nfb increase inflammatory factor levels mouse model following radiation exposure cell model irradiation also triggered activation cgassting signaling pathway downstream targets leading elevated levels inflammatory factors notably knocking cgas using small interfering rna beasb cells significantly alleviated rili cell model study elucidated mechanism dha reducing rili cgasstingnfb signaling pathway revealed gasstingnfb axis may potential therapeutic target rili,AI in Oncology
